G,PG,PG-13,R
268488329,200807262,760505847,150350192
191450875,141614023,309404152,281492479
414984497,334185206,448130642,61937495
223806889,234903076,73058679,133228348
665426,172051787,336530303,111110575
206435493,123070338,458991599,107503316
131536019,237282182,330249062,129734803
289907418,137850096,200069408,183635922
104374107,291709845,423032628,138396624
100117603,292979556,89289910,119412921
89296573,198332128,291021565,32694788
130174897,73820094,623279547,126464904
380838870,100289690,241063875,93050117
245823397,356454367,179020854,40911830
120618403,241407328,262030663,113330342
143618384,238371987,105219735,106369117
66941559,93417865,258355354,58183966
82506325,222487711,70083519,47396698
133103929,189412677,658672302,187670866
73215310,217387997,407197282,204843350
60507228,63143812,65173160,97030725
422783777,76846624,652177271,130127620
244052771,320706665,373377893,146282411
139225854,104383624,408992272,65452312
135381507,206456431,402076689,101228120
141600000,179982968,245428137,162804648
58297830,177243721,202853933,85017401
58336565,400736600,116593191,66862068
66002004,114053579,125320003,116866727
95149435,119420252,350034110,54700065
162792677,126597121,202351611,77679638
22717758,165230261,233914986,108638745
30105968,131564731,228756232,86897182
3562749,21379315,65171860,95328937
191796233,34964818,90755643,67344392
108244774,111505642,101785482,132373442
79566871,216366733,352358779,110416702
26687172,143523463,317011114,102515793
217350219,103400692,130468626,100012500
100491683,176997107,140080850,73209340
80920948,83024900,166112167,42877165
24381334,123207194,47375327,37567440
16290976,83348920,124051759,172620724
13000000,215395021,154985087,126149655
75597042,177343675,533316061,111544445
5000000,149234747,318298180,112703470
48423368,77564037,113745408,51396781
47887943,137748063,102176165,40048332
45542421,113733726,161087183,33048353
18081626,148337537,100189501,102981571
16988996,260031035,88246220,254455986
8000000,131920333,150167630,127968405
7382993,124976634,312057433,112225777
1064277,64736114,155111815,104054514
2119994,43929341,208543795,101087161
11634458,310675583,38297305,95632614
26161406,474544677,259746958,94822707
12701880,187165546,102315545,76081498
10353690,250863268,333130696,85707116
25571351,42776259,187991439,65948711
73000942,142614158,292568851,69772969
48092846,50026353,303001229,27779888
27281507,71017784,144512310,17593391
90556401,24004159,127490802,35286428
36696761,100446895,146405371,134568845
17655201,173005002,281666058,134006721
50000000,75030163,60655503,41814863
163214286,34964818,46978995,66636385
1889522,107515297,89732035,43426961
19421271,55673333,198539855,83503161
198655278,38120554,318759914,34636443
76400000,17010646,227946274,55585389
163245,10200000,256386216,51814190
39552600,58867694,205343774,47456450
,50802661,179883016,75600000
,161317423,206360018,136448821
,201148159,133375846,120523073
,71148699,181015141,117541000
,261437578,83640426,100614858
,124870275,79711678,78120196
,196573705,124051759,98895417
,58229120,133382309,65012000
,84037039,73103784,40932372
,85884815,118099659,62321039
,75817994,201573391,19076815
,100853835,190418803,18990542
,68558662,82161969,14294842
,60874615,209364921,19819494
,58220776,110332737,7097125
,197992827,257704099,25121291
,148313048,403706375,71069884
,127706877,31141074,35324232
,84303558,31704416,81257500
,64933670,132122995,45045037
,153288182,122512052,28965197
,43575716,32131830,39380442
,155019340,176636816,37516013
,145771527,93926386,216119491
,128200012,292298923,33685268
,109993847,134518390,171383253
,92969824,227137090,119412921
,90443603,180191634,100468793
,82226474,424645577,100448498
,100169068,292298923,84049211
,80360866,234277056,70450000
,169692572,118311368,59617068
,50628009,101160529,53846915
,45356386,60522097,52397389
,36073232,33592415,36064910
,103812241,305388685,33328051
,119793567,337103873,32598931
,74158157,217536138,37023395
,26000610,209805005,17218080
,368049635,186830669,13750556
,193136719,163192114,31054924
,195329763,113165635,15738632
,118823091,107285004,54116191
,97360069,186739919,210592590
,73023275,215397307,136801374
,160762022,182618434,167735396
,73661010,115802596,102678089
,22751979,100685880,75573300
,336029560,57637485,75530832
,107225164,58607007,100003492
,112950721,30212620,73648142
,27796042,76418654,64505912
,436471036,89021735,77862546
,152149590,380262555,54910560
,162495848,132550960,50024083
,119654900,47952020,47748610
,219613391,190871240,46975183
,70117571,67155742,45996718
,13596911,81638674,32122249
,8460990,56114221,40076438
,37760080,155181732,32940507
,251501645,125531634,32522352
,176387405,186336103,18208078
,172071312,129995817,4426297
,115731542,102608827,10166502
,69688384,98780042,363024263
,85911262,66002193,350123553
,28045540,85463309,53715611
,43532294,48068396,60984028
,108012170,61656849,36931089
,143151473,134520804,104354205
,125603360,144795350,101530738
,101217900,228430993,91400000
,104148781,35799026,83000000
,93375151,101643008,70098138
,90646554,132014112,66207920
,82569532,180011740,63408614
,71844424,148383780,68750000
,66734992,119219978,55473600
,75280058,67631157,38553833
,61112916,184031112,34350553
,60573641,40198710,34238611
,55994557,72660029,34098563
,50807639,49392095,33472850
,36830057,39292022,35707327
,26288320,28772222,18573791
,11802056,24985612,11466088
,12065985,4411102,81645152
,80021740,202007640,9483821
,35231365,59475623,66676062
,217326336,43982842,5660084
,134218018,377019252,62563543
,105263257,340478898,33574332
,100328194,17176900,73343413
,68218041,131144183,25031037
,55747724,181166115,22843047
,49994804,176740650,95720716
,16088610,22406362,36385763
,51178893,11000000,37035845
,108200000,250147615,42438300
,35092918,81557479,90567722
,267652016,226138454,153620822
,127997349,155370362,218628680
,75621915,125305545,125548685
,75367693,209019489,191616238
,73701902,83077470,105264608
,67128202,100018837,88504640
,50150619,78747585,81517441
,39177541,78616689,67823573
,33643461,65653758,70496802
,23159305,64685359,54997476
,16671505,61355436,52752475
,103738726,47474112,50815288
,15519841,56114221,52822418
,130512915,61644321,50007168
,101702060,120147445,48154732
,71423726,241688385,48265581
,88625922,144512310,56724080
,52580895,233630478,42610000
,51019112,176049130,47105085
,48114556,183405771,41256277
,35617599,78009155,40905277
,28133159,63224849,38590500
,25200412,117144465,39778599
,8129455,150832203,38105077
,45290318,47592825,32800000
,7204138,50016394,31874869
,90800000,57010853,27067160
,118500000,62494975,26199517
,111760631,44606335,25450527
,138614544,31494270,25407250
,107458785,31111260,24006726
,87666629,123307945,20389967
,81593527,137340146,19593740
,57011847,80170146,26442251
,49851591,75754670,17114882
,52320979,34543701,21557240
,51853450,242589580,10400000
,38087756,180965237,9795017
,20999103,407999255,20488579
,14018364,162831698,6291602
,20113965,140459099,10706786
,511920,53215979,21413502
,35287788,158115031,124107476
,30400000,133668525,31569268
,85570368,130313314,66488090
,75668868,124590960,95308367
,71038190,103028109,60652036
,22770864,101111837,25900000
,7871693,91188905,53574088
,9589875,79363785,37339525
,48006503,74329966,69304264
,72279690,69102910,5600000
